index,업태구분명,사업장명,소재지전체주소,좌표정보(x),좌표정보(y),인허가일자,시설총규모
10245,탕류(보신용),토종순대국밥,강원특별자치도 춘천시 퇴계동 1183,263538.029414861,485108.959758132,2020-10-08,195.03
10246,기타,LINE(라인),강원특별자치도 춘천시 석사동 913-8,265967.750083196,483264.891686055,2020-10-20,113.5
10247,한식,동부지짐이다정,강원특별자치도 춘천시 운교동 183 동부시장현대아파트,264518.245047485,486328.376714699,2020-10-20,64.64
10248,기타,와우,강원특별자치도 춘천시 동내면 학곡리 366-3,266980.777987605,482122.142177124,2020-10-20,118.0
10249,정종/대포집/소주방,인생건어물후평점,강원특별자치도 춘천시 후평동 458-1,265975.673522764,486647.800209821,2020-10-22,80.0
10250,정종/대포집/소주방,옥주방,강원특별자치도 춘천시 퇴계동 1090,264340.829969534,484659.071980366,2020-10-26,49.62
10251,식육(숯불구이),춘천제일닭갈비,강원특별자치도 춘천시 석사동 827-4,265712.496238096,483786.902128081,2016-12-28,119.88
10252,한식,푸른정원,강원특별자치도 춘천시 후평동 704-11,265686.00686993,487018.140287987,2016-12-30,36.1
10253,"외국음식전문점(인도,태국등)",하노이별퇴계점,강원특별자치도 춘천시 석사동 880-1 107호,265443.981660551,483538.273144829,2016-12-30,68.04
10254,분식,733,강원특별자치도 춘천시 신북읍 천전리 1352,269451.8913261,492458.410951745,2017-01-02,55.02
10255,한식,착한밥상,강원특별자치도 춘천시 퇴계동 864,264571.08699661,482801.165212965,2017-01-03,237.0
10256,식육(숯불구이),라무진춘천석사점,강원특별자치도 춘천시 석사동 749-4,266008.614563565,485004.648384033,2017-01-04,69.57
10257,식육(숯불구이),대박푸줏간,강원특별자치도 춘천시 퇴계동 370-25,264085.917680319,484818.138109862,2017-01-05,90.3
10258,한식,이모네한식,강원특별자치도 춘천시 석사동 654-6,265116.413811242,484318.272816641,2017-01-05,109.71
10259,한식,미가,강원특별자치도 춘천시 후평동 730 1층,265942.529324357,487321.277831848,2017-05-22,50.51
10260,호프/통닭,bhc후평점,강원특별자치도 춘천시 후평동 67-56,265677.264367687,486249.947116909,2017-05-22,95.0
10261,분식,고바우통닭,강원특별자치도 춘천시 후평동 691-3,265609.363609217,486685.601543957,2017-05-22,16.8
10262,기타,감,강원특별자치도 춘천시 퇴계동 977-5,264605.630172406,484280.907592893,2017-05-23,28.35
10263,한식,민물나라,강원특별자치도 춘천시 옥천동 26,264209.351544075,487086.990485774,2017-05-23,96.22
10264,한식,로하스,강원특별자치도 춘천시 서면 서상리 1053,261662.982912721,492795.563288821,2017-05-24,87.2
10265,기타,영영상점후평44호상점,강원특별자치도 춘천시 후평동 855-3,265178.419702144,487029.538293149,2022-06-07,43.46
10266,분식,옥천,강원특별자치도 춘천시 옥천동 14-9,264344.524803188,486917.326242361,2019-03-19,63.19
10267,한식,풍천민물장어,강원특별자치도 춘천시 퇴계동 900-8,263797.513677638,484504.602413057,2019-03-20,98.13
10268,식육(숯불구이),순금송어,강원특별자치도 춘천시 후평동 186,266094.470006175,487866.064923894,2019-03-20,161.6
10269,정종/대포집/소주방,어딕디드백(Addicted100),강원특별자치도 춘천시 석사동 644-8,265277.331093003,484415.294589719,2019-03-20,104.76
10270,한식,대운소머리곰탕,강원특별자치도 춘천시 신동 1150-2,264637.386310845,491285.982596867,2019-03-20,185.95
10271,한식,더담다,강원특별자치도 춘천시 석사동 748-1,266015.576903346,484974.397407895,2019-03-21,94.27
10272,기타,와이어드커피,강원특별자치도 춘천시 동내면 학곡리 5-14,267021.041453026,482192.438250429,2019-03-27,250.05
10273,한식,샤브마니아메가박스점,강원특별자치도 춘천시 온의동 587-8,263286.939584035,485123.910625361,2019-03-27,148.5
10274,기타,피자래빗,강원특별자치도 춘천시 서면 덕두원리 40-12,258993.208959555,482964.351526028,2019-03-28,187.2
10275,기타,맘인더가든스카이워크점,강원특별자치도 춘천시 소양로1가 101-7,263805.214916248,488052.534003669,2019-10-30,93.0
10276,한식,인생건어물맥주강대점,강원특별자치도 춘천시 효자동 180-11,264921.069233616,485534.139876527,2019-10-30,67.0
10277,식육(숯불구이),팔뚝갈비,강원특별자치도 춘천시 동면 장학리 791-35,265823.390593064,488381.171974369,2019-10-31,244.65
10278,정종/대포집/소주방,본가춘천스무숲점,강원특별자치도 춘천시 석사동 919-2,266025.999121462,483242.399929979,2019-11-01,103.73
10279,기타,쌩김치찜,강원특별자치도 춘천시 효자동 17-9,265525.49708092,486015.90339803,2023-04-14,161.22
10280,기타,동태어장,강원특별자치도 춘천시 우두동 1065,264111.363191051,488836.126976101,2023-04-17,96.7
10281,기타,춘천냉삼회관,강원특별자치도 춘천시 퇴계동 903-1,263682.153288743,484313.050530982,2023-04-17,52.0
10282,기타,이자카야천,강원특별자치도 춘천시 석사동 285-3,265927.539953696,483831.835219571,2023-04-17,66.92
10283,기타,오늘도생선구이,강원특별자치도 춘천시 퇴계동 426-23,263959.765219389,484258.070307214,2023-04-17,34.24
10284,기타,피자피크춘천점,강원특별자치도 춘천시 효자동 757-13,265195.813453946,486531.022725751,2023-04-17,102.6
10285,일식,외곽,강원특별자치도 춘천시 효자동 630-32,265621.316853149,485879.594439952,2023-04-18,42.54
10286,기타,소양가든,강원특별자치도 춘천시 사농동 105-7,,,2023-04-18,91.5
10287,기타,샤브마니아춘천우두점,강원특별자치도 춘천시 우두동 444-1 북춘천새마을금고,264919.65193755,489574.486923261,2023-04-19,171.96
10288,기타,고향산천,강원특별자치도 춘천시 후평동 711-11,265554.388094504,487107.656016446,2023-04-19,50.09
10289,기타,캠핑한잔,강원특별자치도 춘천시 후평동 801-5,266178.679888492,486262.147721133,2023-04-21,120.92
10290,기타,야키니쿠후평,강원특별자치도 춘천시 후평동 79-2,265989.505861467,486673.745743944,2023-05-19,48.3
10291,호프/통닭,참참치킨호프춘천본점,강원특별자치도 춘천시 석사동 729-2,266301.473630719,485216.405380605,2023-05-19,44.0
10292,중국식,식신마라,강원특별자치도 춘천시 동면 장학리 997-2,266318.733070403,488275.67930433,2023-05-19,73.4
10293,중국식,마라킹,강원특별자치도 춘천시 효자동 303-34,264597.548090281,484931.973016898,2023-05-19,64.8
10294,식육(숯불구이),우두돈,강원특별자치도 춘천시 사농동 568,264299.406611949,490228.467310714,2023-01-30,252.0
10295,한식,한전앞집,강원특별자치도 춘천시 후평동 728-8,265861.171634772,487036.946054991,2023-02-01,61.82
10296,중국식,신해물뚝배기짬뽕,강원특별자치도 춘천시 후평동 753-5,266111.884021532,487764.940192042,2023-02-02,123.05
10297,중국식,청월,강원특별자치도 춘천시 우두동 1094,264878.212987629,490112.860860164,2023-02-02,103.04
10298,기타,양만이해장국,강원특별자치도 춘천시 교동 155-2,265044.000587156,486933.044473073,2023-02-03,38.32
10299,한식,요리가,강원특별자치도 춘천시 소양로2가 172-1 신동아아파트,263675.833817836,487157.336209289,2023-02-03,27.1
10300,기타,백일칼국수우두점,강원특별자치도 춘천시 우두동 684-12,264254.558685438,489101.736648481,2023-02-03,126.11
10301,기타,인올아웃커피,강원특별자치도 춘천시 신북읍 천전리 12-7,270416.227384823,493161.939676509,2023-02-06,15.12
10302,기타,정담푸드,강원특별자치도 춘천시 우두동 1066-5,264068.245093534,488850.069766792,2023-02-06,78.18
10303,식육(숯불구이),돈돈,강원특별자치도 춘천시 퇴계동 1146,263989.486232263,484899.888448309,2023-02-07,94.08
10304,중국식,라사천,강원특별자치도 춘천시 효자동 661-16,264485.39264914,485859.941788854,2023-02-07,55.86
10305,기타,펍앤바449st,강원특별자치도 춘천시 동면 장학리 1004-1,266296.60458214,488177.53653432,2023-02-07,79.05
10306,식육(숯불구이),참한고깃집,강원특별자치도 춘천시 석사동 662-4,265417.022756318,484136.053299746,2023-02-07,46.88
10307,기타,88포장마차,강원특별자치도 춘천시 우두동 1098,264879.443591586,489965.320417152,2023-02-07,94.12
10308,기타,포장마차,강원특별자치도 춘천시 후평동 738-2,266264.735,487373.63,2023-02-08,26.4
10309,기타,레이아웃,강원특별자치도 춘천시 소양로4가 115-7,263240.403660836,486181.337855764,2023-02-08,191.37
10310,기타,우두동가보자토종순대국밥,강원특별자치도 춘천시 우두동 444-8,264865.827166541,489654.624278361,2023-01-26,142.76
10311,호프/통닭,발닭발닭,강원특별자치도 춘천시 동내면 거두리 956-5,266301.505,483706.99,2014-10-31,61.6
10312,식육(숯불구이),다락,강원특별자치도 춘천시 소양로2가 153-20,263605.687057114,487124.813591465,2014-11-03,167.0
